record_id,competition_id,team_id,loan_type,amount_wan,remaining_term,remaining_term_unit,start_year,start_quarter,source_id,source_path,source_sheet,source_row
8f6fc8d3f33134ed,historical_600_unknown_rule,ZY02,long,400.0,1.0,year,2,1,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,银行贷款,4
1f379bae52021c94,historical_600_unknown_rule,ZY02,long,200.0,3.0,year,3,1,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,银行贷款,5
0f5aa3f356c5e18a,historical_600_unknown_rule,ZY03,long,492.0,2.0,year,2,1,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,银行贷款,4
e634ad14e1fe0d2b,historical_600_unknown_rule,ZY03,short,309.0,3.0,quarter,5,3,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,银行贷款,4
a778c52ea5b541c7,historical_600_unknown_rule,ZY03,long,504.0,3.0,year,3,1,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,银行贷款,5
bf30a66fa272b850,historical_600_unknown_rule,ZY03,short,309.0,4.0,quarter,5,4,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,银行贷款,5
aa73e9268ba3c803,historical_600_unknown_rule,ZY03,long,633.0,5.0,year,5,1,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,银行贷款,6
e6bf0d6217f15680,historical_600_unknown_rule,ZY04,long,1000.0,1.0,year,1,1,src_158092ee4fdb,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY04.xls,银行贷款,4
70676e11282a5734,historical_600_unknown_rule,ZY04,short,336.0,1.0,quarter,5,1,src_158092ee4fdb,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY04.xls,银行贷款,4
302618cb12141481,historical_600_unknown_rule,ZY04,short,200.0,4.0,quarter,5,4,src_158092ee4fdb,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY04.xls,银行贷款,5
aed3ca1e0bd46c79,historical_600_unknown_rule,ZY05,long,454.0,1.0,year,1,1,src_33c96cbd4d19,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY05.xls,银行贷款,4
eeda98ba33b63bd0,historical_600_unknown_rule,ZY05,long,504.0,2.0,year,2,1,src_33c96cbd4d19,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY05.xls,银行贷款,5
5a2cc73b0c09b9f8,historical_600_unknown_rule,ZY05,long,206.0,3.0,year,3,1,src_33c96cbd4d19,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY05.xls,银行贷款,6
ea959adeb110b81d,historical_600_unknown_rule,ZY05,long,1458.0,5.0,year,5,1,src_33c96cbd4d19,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY05.xls,银行贷款,7
5add577de293b59e,historical_600_unknown_rule,ZY06,long,304.0,1.0,year,1,1,src_aa724dd3736a,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY06.xls,银行贷款,4
