record_id,competition_id,team_id,order_id,market_name,product_id,quantity,total_amount_wan,status,won_year,delivery_term_quarters,receivable_term_quarters,iso_name,delivered_year,delivered_quarter,source_id,source_path,source_sheet,source_row
2c9cbec300e389b4,historical_600_unknown_rule,ZY02,X22-0056,区域,P2,2.0,141.0,已交单,2,4.0,3.0,,2.0,4.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,订单信息,4
5ab95bd04a227514,historical_600_unknown_rule,ZY02,X21-0014,本地,P2,3.0,172.0,已交单,2,4.0,1.0,,2.0,3.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,订单信息,5
43d2bde27aa8af79,historical_600_unknown_rule,ZY02,X21-0026,本地,P3,1.0,91.0,已交单,2,4.0,3.0,,2.0,2.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,订单信息,6
6e30f1a7054eb06b,historical_600_unknown_rule,ZY02,X31-0091,本地,P2,3.0,181.0,已交单,3,4.0,2.0,,3.0,4.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,订单信息,7
5c5c2aa768c14247,historical_600_unknown_rule,ZY02,X32-0120,区域,P3,4.0,323.0,已交单,3,3.0,2.0,,3.0,3.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,订单信息,8
3d5ddd644c633de6,historical_600_unknown_rule,ZY02,X31-0096,本地,P3,3.0,251.0,已交单,3,3.0,2.0,,3.0,1.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,订单信息,9
e1949fd38692eac8,historical_600_unknown_rule,ZY02,J32-0014,区域,P3,2.0,180.0,已交单,3,4.0,1.0,,3.0,4.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,订单信息,10
80272dc988eaef58,historical_600_unknown_rule,ZY02,X41-0177,本地,P3,3.0,250.0,已交单,4,2.0,0.0,ISO9000,4.0,2.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,订单信息,11
896c2329f84819a8,historical_600_unknown_rule,ZY02,X43-0233,国内,P3,3.0,252.0,已交单,4,3.0,1.0,ISO9000,4.0,3.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,订单信息,12
d1c0183788b4a733,historical_600_unknown_rule,ZY02,X52-0306,区域,P3,4.0,320.0,已交单,5,4.0,2.0,ISO9000,5.0,3.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,订单信息,13
2ba9109c9a98e10c,historical_600_unknown_rule,ZY02,X53-0319,国内,P2,3.0,201.0,已交单,5,3.0,2.0,,5.0,3.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,订单信息,14
598554a0c6c31852,historical_600_unknown_rule,ZY02,X53-0327,国内,P3,3.0,233.0,已交单,5,3.0,1.0,ISO9000,5.0,1.0,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,订单信息,15
9c730f0643fde652,historical_600_unknown_rule,ZY03,X22-0050,区域,P2,4.0,260.0,已交单,2,4.0,2.0,,2.0,3.0,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,订单信息,4
85ff9a35f61a157f,historical_600_unknown_rule,ZY03,X22-0062,区域,P3,4.0,352.0,已交单,2,4.0,3.0,,2.0,4.0,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,订单信息,5
7749e9cea9a0ab76,historical_600_unknown_rule,ZY03,X21-0028,本地,P3,2.0,190.0,已交单,2,4.0,2.0,,2.0,2.0,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,订单信息,6
8912275bfca03acc,historical_600_unknown_rule,ZY03,X31-0084,本地,P2,4.0,243.0,已交单,3,3.0,2.0,,3.0,3.0,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,订单信息,7
ba16b1b73784041a,historical_600_unknown_rule,ZY03,X32-0119,区域,P3,3.0,252.0,已交单,3,4.0,3.0,,3.0,4.0,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,订单信息,8
0ec42a35896b1c50,historical_600_unknown_rule,ZY03,X31-0097,本地,P3,3.0,242.0,已交单,3,2.0,2.0,,3.0,2.0,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,订单信息,9
8a0d2542d3a80e50,historical_600_unknown_rule,ZY03,X33-0144,国内,P2,4.0,262.0,已交单,3,2.0,2.0,,3.0,1.0,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,订单信息,10
